a�o,Periodo,Grado,Numero de grupos
2012,2,Primer semestre,0
2012,2,Segundo semestre,15
2012,2,Tercer semestre,18
2012,2,Cuarto semestre,12
2012,2,Quinto semestre,18
2012,2,Sexto semestre,0
2012,2,Séptimo semestre,0
2012,2,Octavo semestre,0
2012,2,Noveno semestre,0
2013,1,Primer semestre,2
2013,1,Segundo semestre,24
2013,1,Tercer semestre,19
2013,1,Cuarto semestre,13
2013,1,Quinto semestre,14
2013,1,Sexto semestre,12
2013,1,Séptimo semestre,18
2013,1,Octavo semestre,0
2013,1,Noveno semestre,0
2013,2,Primer semestre,3
2013,2,Segundo semestre,19
2013,2,Tercer semestre,22
2013,2,Cuarto semestre,17
2013,2,Quinto semestre,12
2013,2,Sexto semestre,12
2013,2,Séptimo semestre,12
2013,2,Octavo semestre,10
2013,2,Noveno semestre,0
2014,1,Primer semestre,1
2014,1,Segundo semestre,19
2014,1,Tercer semestre,18
2014,1,Cuarto semestre,18
2014,1,Quinto semestre,12
2014,1,Sexto semestre,12
2014,1,Séptimo semestre,13
2014,1,Octavo semestre,15
2014,1,Noveno semestre,2
2014,2,Primer semestre,4
2014,2,Segundo semestre,19
2014,2,Tercer semestre,18
2014,2,Cuarto semestre,18
2014,2,Quinto semestre,12
2014,2,Sexto semestre,12
2014,2,Séptimo semestre,14
2014,2,Octavo semestre,15
2014,2,Noveno semestre,2
2015,1,Primer semestre,2
2015,1,Segundo semestre,32
2015,1,Tercer semestre,18
2015,1,Cuarto semestre,18
2015,1,Quinto semestre,17
2015,1,Sexto semestre,12
2015,1,Séptimo semestre,12
2015,1,Octavo semestre,12
2015,1,Noveno semestre,7
2015,2,Primer semestre,2
2015,2,Segundo semestre,14
2015,2,Tercer semestre,24
2015,2,Cuarto semestre,17
2015,2,Quinto semestre,18
2015,2,Sexto semestre,14
2015,2,Séptimo semestre,12
2015,2,Octavo semestre,11
2015,2,Noveno semestre,6
2016,1,Primer semestre,1
2016,1,Segundo semestre,26
2016,1,Tercer semestre,14
2016,1,Cuarto semestre,23
2016,1,Quinto semestre,16
2016,1,Sexto semestre,18
2016,1,Séptimo semestre,12
2016,1,Octavo semestre,12
2016,1,Noveno semestre,5
2016,2,Primer semestre,2
2016,2,Segundo semestre,22
2016,2,Tercer semestre,13
2016,2,Cuarto semestre,22
2016,2,Quinto semestre,18
2016,2,Sexto semestre,14
2016,2,Séptimo semestre,19
2016,2,Octavo semestre,13
2016,2,Noveno semestre,4
2017,1,Primer semestre,2
2017,1,Segundo semestre,25
2017,1,Tercer semestre,15
2017,1,Cuarto semestre,13
2017,1,Quinto semestre,12
2017,1,Sexto semestre,14
2017,1,Séptimo semestre,12
2017,1,Octavo semestre,12
2017,1,Noveno semestre,6
2017,2,Primer semestre,2
2017,2,Segundo semestre,24
2017,2,Tercer semestre,21
2017,2,Cuarto semestre,12
2017,2,Quinto semestre,18
2017,2,Sexto semestre,12
2017,2,Séptimo semestre,13
2017,2,Octavo semestre,11
2017,2,Noveno semestre,8
2018,1,Primer semestre,2
2018,1,Segundo semestre,25
2018,1,Tercer semestre,19
2018,1,Cuarto semestre,17
2018,1,Quinto semestre,12
2018,1,Sexto semestre,17
2018,1,Séptimo semestre,10
2018,1,Octavo semestre,12
2018,1,Noveno semestre,8
2018,2,Primer semestre,3
2018,2,Segundo semestre,20
2018,2,Tercer semestre,21
2018,2,Cuarto semestre,16
2018,2,Quinto semestre,18
2018,2,Sexto semestre,12
2018,2,Séptimo semestre,16
2018,2,Octavo semestre,15
2018,2,Noveno semestre,13
2019,1,Primer semestre,4
2019,1,Segundo semestre,22
2019,1,Tercer semestre,18
2019,1,Cuarto semestre,18
2019,1,Quinto semestre,12
2019,1,Sexto semestre,12
2019,1,Séptimo semestre,10
2019,1,Octavo semestre,15
2019,1,Noveno semestre,11
2019,2,Primer semestre,3
2019,2,Segundo semestre,21
2019,2,Tercer semestre,19
2019,2,Cuarto semestre,18
2019,2,Quinto semestre,17
2019,2,Sexto semestre,12
2019,2,Séptimo semestre,18
2019,2,Octavo semestre,15
2019,2,Noveno semestre,11
2020,1,Primer semestre,4
2020,1,Segundo semestre,22
2020,1,Tercer semestre,18
2020,1,Cuarto semestre,18
2020,1,Quinto semestre,12
2020,1,Sexto semestre,12
2020,1,Séptimo semestre,13
2020,1,Octavo semestre,15
2020,1,Noveno semestre,11
2020,2,Primer semestre,3
2020,2,Segundo semestre,24
2020,2,Tercer semestre,20
2020,2,Cuarto semestre,19
2020,2,Quinto semestre,18
2020,2,Sexto semestre,12
2020,2,Séptimo semestre,18
2020,2,Octavo semestre,17
2020,2,Noveno semestre,10
2021,1,Primer semestre,3
2021,1,Segundo semestre,30
2021,1,Tercer semestre,19
2021,1,Cuarto semestre,20
2021,1,Quinto semestre,18
2021,1,Sexto semestre,18
2021,1,Séptimo semestre,12
2021,1,Octavo semestre,18
2021,1,Noveno semestre,11
2021,2,Primer semestre,3
2021,2,Segundo semestre,23
2021,2,Tercer semestre,24
2021,2,Cuarto semestre,18
2021,2,Quinto semestre,18
2021,2,Sexto semestre,12
2021,2,Séptimo semestre,18
2021,2,Octavo semestre,14
2021,2,Noveno semestre,11
2022,1,Primer semestre,6
2022,1,Segundo semestre,26
2022,1,Tercer semestre,23
2022,1,Cuarto semestre,24
2022,1,Quinto semestre,18
2022,1,Sexto semestre,18
2022,1,Séptimo semestre,18
2022,1,Octavo semestre,12
2022,1,Noveno semestre,16
2022,2,Primer semestre,3
2022,2,Segundo semestre,21
2022,2,Tercer semestre,24
2022,2,Cuarto semestre,18
2022,2,Quinto semestre,17
2022,2,Sexto semestre,22
2022,2,Séptimo semestre,18
2022,2,Octavo semestre,11
2022,2,Noveno semestre,14
2023,1,Primer semestre,3
2023,1,Segundo semestre,23
2023,1,Tercer semestre,20
2023,1,Cuarto semestre,18
2023,1,Quinto semestre,14
2023,1,Sexto semestre,18
2023,1,Séptimo semestre,17
2023,1,Octavo semestre,14
2023,1,Noveno semestre,10
